Sample	Signature	proportion	Patient	anno	timepoint	clone
D2_C3_MID	SBS1	0.0479278162628637	D2	EML	MID	C3
D2_C3_LATE	SBS1	0.0336923098782056	D2	EML	LATE	C3
D2_C3_MID	SBS5	0.341278518719303	D2	EML	MID	C3
D2_C3_LATE	SBS5	0.269943640639641	D2	EML	LATE	C3
D2_C3_MID	SBS17a	0.00231246263479266	D2	EML	MID	C3
D2_C3_LATE	SBS17a	0.00315205200376813	D2	EML	LATE	C3
D2_C3_MID	SBS17b	0.00354406215704038	D2	EML	MID	C3
D2_C3_LATE	SBS17b	0.00911822293414426	D2	EML	LATE	C3
D2_C3_MID	SBS40	0.604937140226001	D2	EML	MID	C3
D2_C3_LATE	SBS40	0.684093774544241	D2	EML	LATE	C3
D2_C2_16I1	SBS1	0.0558911754720061	D2	Timecourse	101d	C2
D2_C2_27B6	SBS1	0.0614942283151519	D2	Timecourse	190d	C2
D2_C2_38E7	SBS1	0.0506663616637747	D2	Timecourse	260d	C2
D2_C2_61I1	SBS1	0.0386131187843187	D2	Timecourse	428d	C2
D2_C2_LATE	SBS1	0.0385663844929282	D2	Timecourse	609d	C2
D2_C2_16I1	SBS5	0.410181365221412	D2	Timecourse	101d	C2
D2_C2_27B6	SBS5	0.379337568742571	D2	Timecourse	190d	C2
D2_C2_38E7	SBS5	0.320789101544576	D2	Timecourse	260d	C2
D2_C2_61I1	SBS5	0.356376535860787	D2	Timecourse	428d	C2
D2_C2_LATE	SBS5	0.367218123679423	D2	Timecourse	609d	C2
D2_C2_16I1	SBS17a	0.0100275151566389	D2	Timecourse	101d	C2
D2_C2_27B6	SBS17a	0.00572700071556644	D2	Timecourse	190d	C2
D2_C2_38E7	SBS17a	0.003328248531711	D2	Timecourse	260d	C2
D2_C2_61I1	SBS17a	0.00347387582940452	D2	Timecourse	428d	C2
D2_C2_LATE	SBS17a	0.00119093514676825	D2	Timecourse	609d	C2
D2_C2_16I1	SBS17b	0.0116718469369507	D2	Timecourse	101d	C2
D2_C2_27B6	SBS17b	0.00445148640706809	D2	Timecourse	190d	C2
D2_C2_38E7	SBS17b	0.00236484076316788	D2	Timecourse	260d	C2
D2_C2_61I1	SBS17b	0.00181285834688685	D2	Timecourse	428d	C2
D2_C2_LATE	SBS17b	0.00056072112235806	D2	Timecourse	609d	C2
D2_C2_16I1	SBS40	0.512228097212992	D2	Timecourse	101d	C2
D2_C2_27B6	SBS40	0.548989715819643	D2	Timecourse	190d	C2
D2_C2_38E7	SBS40	0.62285144749677	D2	Timecourse	260d	C2
D2_C2_61I1	SBS40	0.599723611178603	D2	Timecourse	428d	C2
D2_C2_LATE	SBS40	0.592463835558522	D2	Timecourse	609d	C2
D3_C2_MID	SBS1	0.116883386253437	D3	EML	MID	C2
D3_C2_LATE	SBS1	0.0293417086427235	D3	EML	LATE	C2
D3_C2_MID	SBS5	0.448335785248889	D3	EML	MID	C2
D3_C2_LATE	SBS5	0.281560029093689	D3	EML	LATE	C2
D3_C2_MID	SBS17a	0.00618065825409039	D3	EML	MID	C2
D3_C2_LATE	SBS17a	0.140958030584288	D3	EML	LATE	C2
D3_C2_MID	SBS17b	0.00114642841402784	D3	EML	MID	C2
D3_C2_LATE	SBS17b	0.125634860891534	D3	EML	LATE	C2
D3_C2_MID	SBS40	0.427453741829556	D3	EML	MID	C2
D3_C2_LATE	SBS40	0.422505370787765	D3	EML	LATE	C2
D3_C3_MID	SBS1	0.127777485740093	D3	EML	MID	C3
D3_C3_LATE	SBS1	0.034345972186603	D3	EML	LATE	C3
D3_C3_MID	SBS5	0.338607845891221	D3	EML	MID	C3
D3_C3_LATE	SBS5	0.407364337585771	D3	EML	LATE	C3
D3_C3_MID	SBS17a	0.00243825332500206	D3	EML	MID	C3
D3_C3_LATE	SBS17a	0.0116199194673521	D3	EML	LATE	C3
D3_C3_MID	SBS17b	0.000723286667965682	D3	EML	MID	C3
D3_C3_LATE	SBS17b	0.0173092318668753	D3	EML	LATE	C3
D3_C3_MID	SBS40	0.530453128375719	D3	EML	MID	C3
D3_C3_LATE	SBS40	0.529360538893398	D3	EML	LATE	C3
D3_C1_16H6	SBS1	0.115936251088328	D3	Timecourse	115d	C1
D3_C1_27A5	SBS1	0.12090791474414	D3	Timecourse	190d	C1
D3_C1_38D1	SBS1	0.0932899209747796	D3	Timecourse	264d	C1
D3_C1_58I8	SBS1	0.0882940034228915	D3	Timecourse	404d	C1
D3_C1_LATE	SBS1	0.0361334865049931	D3	Timecourse	705d	C1
D3_C1_16H6	SBS5	0.46157760890326	D3	Timecourse	115d	C1
D3_C1_27A5	SBS5	0.458040235794833	D3	Timecourse	190d	C1
D3_C1_38D1	SBS5	0.480194541114104	D3	Timecourse	264d	C1
D3_C1_58I8	SBS5	0.428309799901385	D3	Timecourse	404d	C1
D3_C1_LATE	SBS5	0.315384348684567	D3	Timecourse	705d	C1
D3_C1_16H6	SBS17a	0.00751393982587648	D3	Timecourse	115d	C1
D3_C1_27A5	SBS17a	0.00868163135374839	D3	Timecourse	190d	C1
D3_C1_38D1	SBS17a	0.00475526762444042	D3	Timecourse	264d	C1
D3_C1_58I8	SBS17a	0.00325117509543602	D3	Timecourse	404d	C1
